time,Speed_Compact_Winter_Test1,Speed_Compact_Winter_Test2,Speed_Compact_Winter_Test3,Speed_Compact_Winter_Test4,Speed_Compact_Winter_Test5,Speed_Compact_AllSeason_Test1,Speed_Compact_AllSeason_Test2,Speed_Compact_AllSeason_Test3,Speed_Compact_AllSeason_Test4,Speed_Compact_AllSeason_Test5,Speed_Compact_Summer_Test1,Speed_Compact_Summer_Test2,Speed_Compact_Summer_Test3,Speed_Compact_Summer_Test4,Speed_Compact_Summer_Test5,Speed_Sedan_Winter_Test1,Speed_Sedan_Winter_Test2,Speed_Sedan_Winter_Test3,Speed_Sedan_Winter_Test4,Speed_Sedan_Winter_Test5,Speed_Sedan_AllSeason_Test1,Speed_Sedan_AllSeason_Test2,Speed_Sedan_AllSeason_Test3,Speed_Sedan_AllSeason_Test4,Speed_Sedan_AllSeason_Test5,Speed_Sedan_Summer_Test1,Speed_Sedan_Summer_Test2,Speed_Sedan_Summer_Test3,Speed_Sedan_Summer_Test4,Speed_Sedan_Summer_Test5,Speed_SUV_Winter_Test1,Speed_SUV_Winter_Test2,Speed_SUV_Winter_Test3,Speed_SUV_Winter_Test4,Speed_SUV_Winter_Test5,Speed_SUV_AllSeason_Test1,Speed_SUV_AllSeason_Test2,Speed_SUV_AllSeason_Test3,Speed_SUV_AllSeason_Test4,Speed_SUV_AllSeason_Test5,Speed_SUV_Summer_Test1,Speed_SUV_Summer_Test2,Speed_SUV_Summer_Test3,Speed_SUV_Summer_Test4,Speed_SUV_Summer_Test5
5.82,-0.711,0.402,-0.647,-0.711,0.103,0.951,1.147,-1.488,-0.151,-0.252,-0.472,-0.504,-0.092,-0.033,0.237,-0.102,-0.847,-0.551,0.092,0.014,8.401,5.551,0.165,-0.838,7.029,0.479,-0.031,-0.414,0.621,NaN,-0.944,0.347,0.179,-1.23,-0.765,-0.674,5.335,-0.042,-0.211,0.388,2.935,0.213,-0.385,0.501,-0.933
5.83,-0.959,-0.939,-1.045,0.141,-0.208,-0.48,0.741,0.346,0.86,0.326,-1.633,0.089,-0.634,0.806,-0.39,0.179,-0.874,0.741,1.211,-0.906,NaN,4.651,-0.114,-0.1,7.952,0.29,1.47,-0.461,0.008,3.758,0.494,0.213,0.159,0.083,-1.004,-1.38,5.67,-0.307,0.645,-1.22,2.887,0.429,0.339,0.154,-0.605
5.84,-0.423,-1.422,-0.743,-0.38,-0.01,-0.178,0.53,0.116,-0.176,-0.455,-0.845,0.836,0.108,0.229,-0.024,-0.715,1.309,0.725,-1.215,0.931,7.073,5.227,0.158,-0.174,8.77,0.605,0.044,NaN,0.186,4.372,-0.316,-0.168,-0.388,-0.264,-0.374,-0.423,5.075,-1.909,-0.331,-0.264,3.146,-0.818,-0.534,0.098,-0.274
5.85,NaN,0.386,-0.97,0.432,0.604,0.038,1.816,0.215,0.532,0.243,-0.569,-0.592,0.607,NaN,0.57,0.766,0.138,-0.682,0.131,-0.295,8.554,3.74,-0.257,-0.49,7.619,-0.359,-0.096,-0.855,-0.377,3.631,-0.994,0.713,0.183,NaN,0.308,-0.084,6.9,-0.246,-0.734,-1.661,3.219,-0.481,-0.116,-0.707,0.151
5.86,1.193,0.347,-0.024,NaN,NaN,0.459,0.754,-0.462,0.109,0.072,0.553,-0.121,-0.155,0.158,-0.48,-0.283,1.153,0.636,NaN,NaN,7.711,4.976,0.695,0.294,7.497,-0.084,-1.315,0.775,0.641,3.842,0.59,-0.44,0.129,0.01,-0.489,-0.869,6.252,-0.019,0.179,-0.871,2.762,0.152,-0.294,0.445,-0.993
5.87,0.027,-0.811,-0.391,0.147,NaN,-0.722,0.965,-0.459,0.643,0.683,0.325,0.099,-0.82,NaN,0.045,0.14,-0.239,-0.195,0.591,0.897,8.244,5.045,0.098,0.335,8.366,-0.025,-0.297,-1.023,0.583,3.718,-0.174,-0.556,-0.242,-1.28,-0.333,0.745,5.374,0.014,-0.761,-0.097,3.773,0.437,-0.557,0.258,1.66
5.88,-0.927,0.327,-0.139,-0.224,0.474,0.088,2.726,-0.872,1.431,-0.598,-0.118,-0.222,-0.634,0.164,0.161,0.462,0.558,-0.19,NaN,-0.419,8.313,4.735,-0.04,0.375,8.465,-0.352,-1.085,0.022,-1.038,3.824,-1.518,0.525,-0.908,-0.021,-0.516,-0.703,5.754,-1.373,-1.019,0.772,3.718,0.246,-0.073,-0.749,-0.087
5.89,-0.471,0.214,0.028,-0.285,-0.551,NaN,2.77,0.474,0.88,-0.351,0.657,0.282,0.855,0.098,0.315,0.247,0.743,-0.307,-0.026,-0.483,8.593,5.211,-0.913,0.216,7.922,0.26,0.19,NaN,-0.06,4.771,-0.857,0.323,-0.004,0.996,NaN,0.834,5.411,-0.028,-0.249,0.868,3.173,0.913,0.197,-0.361,-1.438
5.9,0.519,-0.973,0.408,-0.323,-0.142,-0.05,3.131,-0.186,1.764,0.22,-0.461,0.57,-1.076,-0.172,-0.23,0.299,0.148,-0.555,0.593,-1.173,8.769,4.992,0.945,0.171,8.669,-0.29,0.043,-0.949,-1.136,5.048,0.589,-0.221,-0.112,0.149,-0.567,-0.378,6.387,0.03,0.065,-1.351,4.444,0.919,0.554,NaN,-0.639
5.91,-0.127,-0.17,-0.509,-1.161,0.028,-0.483,2.831,0.682,1.946,-0.376,0.549,0.138,-0.501,-0.272,-0.866,-0.482,-0.714,0.508,0.218,1.079,7.996,5.46,-0.378,-0.814,8.887,-0.067,-0.09,-0.465,0.298,3.634,-0.977,-0.025,0.262,0.456,-0.283,-0.022,6.105,0.217,0.288,0.344,3.694,-1.154,-0.215,0.364,-0.474
5.92,-1.438,-0.168,0.011,-0.817,-0.184,-0.417,3.705,-0.279,2.456,0.061,-1.167,-0.292,0.39,-0.12,0.572,-0.253,0.311,0.204,-0.334,NaN,NaN,6.096,-0.053,-0.035,7.468,-0.289,-0.151,-1.032,0.076,3.987,0.288,0.655,-0.468,0.278,NaN,-0.694,6.263,-1.223,-0.664,-0.097,3.119,0.033,-0.234,0.421,-0.386
5.93,0.06,-0.024,-0.328,0.582,0.002,0.391,2.503,0.312,0.95,-0.918,0.572,0.434,-0.19,0.809,-1.068,0.016,0.481,0.037,-1.27,0.658,7.835,6.255,0.808,-0.8,8.754,0.356,-0.581,1.078,0.385,4.835,-0.209,0.621,-0.333,-0.982,0.013,-0.947,6.566,-1.094,0.61,-0.689,3.943,-0.675,-0.232,0.191,0.171
5.94,-0.605,0.712,-0.12,-1.212,-1.099,0.74,3.001,0.452,0.838,-0.382,-0.013,-0.261,-0.168,-0.148,1.21,0.966,0.515,-0.371,0.259,-0.112,8.625,5.644,0.317,0.339,9.133,0.162,-0.748,-0.69,-0.545,4.678,-0.934,0.016,0.592,-0.516,-0.576,-1.052,5.888,-0.483,-0.168,-0.664,3.623,1.323,-0.444,-0.743,0.406
5.95,1.362,-0.38,-0.521,-0.956,-0.452,-0.152,3.248,0.707,2.719,0.187,0.586,-0.34,-0.647,-0.006,0.39,-0.082,-0.686,-0.255,0.356,0.309,7.954,4.663,-0.519,0.33,9.32,-0.424,-0.192,-0.881,-0.642,6.413,-1.288,0.005,0.199,-0.038,1.219,-1.117,6.805,-0.866,-0.278,-1.336,4.318,-0.095,-0.062,-0.668,-0.825
5.96,0.226,0.039,0.348,NaN,0.275,-0.121,4.102,0.914,3.257,0.196,0.676,1.015,0.762,0.86,-0.856,-0.866,-0.846,0.296,0.853,-0.653,9.666,5.303,0.403,-1.226,7.913,-0.31,-0.051,-0.475,-0.378,5.371,-0.005,0.865,-0.201,-0.474,-0.12,0.284,6.166,-0.277,0.052,-0.945,4.527,0.398,0.532,-0.399,0.734
5.97,-0.593,-0.276,-1.131,0.179,-0.144,0.576,3.402,-0.669,2.316,0.308,0.193,-0.781,-1.053,-0.826,0.116,-0.46,0.172,-0.983,-0.104,-0.09,9.721,5.686,0.409,-1.126,8.276,0.285,0.281,0.568,0.262,5.106,0.77,-0.3,-0.224,0.437,0.085,-1.117,5.603,0.536,-0.315,0.465,4.448,-0.7,0.124,0.609,0.61
5.98,NaN,0.065,1.452,-0.71,-0.3,-1.044,4.04,0.852,3.73,0.409,0.822,-0.272,NaN,0.532,-1.42,NaN,-1.113,-0.701,0.224,-0.472,8.483,6.663,-1.047,0.567,8.098,-0.024,-0.68,0.781,0.335,5.252,-0.617,0.558,0.489,-0.181,0.347,0.395,7.275,1.278,NaN,0.147,4.329,-0.326,0.4,0.87,-0.612
5.99,0.252,-0.344,-0.276,0.372,0.392,0.331,3.306,0.321,2.21,0.265,-0.867,-0.193,0.056,0.241,-0.25,NaN,-0.375,0.094,0.131,0.003,9.404,5.611,-0.241,-0.116,9.084,0.059,-1.034,0.809,0.475,5.235,0.941,0.406,-0.681,0.27,0.526,-0.98,NaN,-0.694,-0.812,-0.282,4.385,0.397,-0.267,0.063,-0.276
6,-0.537,-0.693,-0.773,-0.501,0.386,0.533,4.121,-0.603,2.485,0.693,-0.139,0.264,0.067,-0.974,-0.214,NaN,-0.572,0.546,-0.059,-0.319,9.183,6,0.623,-1.028,10.093,0.646,-1.131,-0.596,-0.574,4.949,-0.121,0.233,0.437,-0.274,-0.691,-0.034,6.561,0.204,-0.031,-0.304,3.313,-0.109,0.41,0.119,0.011
6.01,-0.987,-0.219,0.294,0.07,-0.249,-0.118,4.62,0.587,2.814,0.045,0.675,-0.324,0.072,0.653,0.352,0.241,-0.361,0.284,-0.744,0.1,8.851,6.837,0.165,-0.085,9.38,0.526,-0.479,0.033,0.19,4.35,-0.409,0.056,0.108,0.1,-0.452,-0.287,6.116,-0.814,-0.494,-0.765,5.402,-0.265,-0.651,-0.045,-0.377
6.02,0.398,-0.451,0.961,0.007,0.721,0.064,4.927,0.07,3.395,0.871,-0.388,0.26,-0.308,0.913,-0.359,0.158,-0.765,-0.483,0.151,-0.796,9.251,6.87,0.592,-1.162,9.705,-0.273,-0.505,0.205,0.274,5.707,-1.086,0.197,-0.2,0.985,-1.163,-0.997,7.093,-1.168,0.304,-0.805,5.013,0.054,-0.395,-0.449,0.227
6.03,-0.043,0.034,0.708,-0.286,-0.604,0.447,4.117,0.41,3.854,-0.389,-0.535,-0.171,0.869,0.454,0.28,-0.271,0.054,0.203,0.307,-0.974,9.99,6.745,0.037,-0.411,8.381,-0.67,-0.307,1.253,0.1,5.117,-1.061,0.389,-0.52,-0.583,1.265,0.571,6.314,-0.511,0.231,0.232,3.563,-1.209,0.251,-0.602,-0.904
6.04,-0.759,0.058,0.314,0.594,-0.693,-0.572,4.86,0.173,2.951,-0.589,-0.95,0.417,0.793,0.071,0.202,0.207,-0.171,-1.283,0.033,0.126,8.221,6.031,0.073,-1.376,8.56,-0.094,0.655,1.449,0.136,6.053,0.061,-1.094,-0.108,-0.337,-0.809,-0.859,8.015,0.15,-0.908,0.461,3.95,0.076,-0.189,-0.116,0.252
6.05,0.057,-0.838,-0.376,-0.06,-0.376,-0.498,4.928,0.08,2.742,-1.44,-0.476,-0.297,-1.056,0.294,-0.516,-0.095,0.1,-1.006,-0.41,0.366,9.18,7.45,0.205,-0.735,9.149,-0.043,-0.177,-0.002,-0.189,5.357,0.226,0.026,0.566,-0.861,-0.057,0.487,6.081,0.265,0.307,0.432,4.356,0.003,-0.616,0.79,0.004
6.06,-0.089,0.396,1.029,1.002,0.322,0.229,4.647,-0.778,3.442,-0.371,-0.034,-0.563,-0.825,-0.843,-0.056,0.592,-0.608,-0.419,0.129,-0.572,9.564,6.796,1.082,-1.584,10.135,0.065,0.324,-0.504,0.76,6.588,-0.433,-0.834,0.144,0.293,-0.042,0.152,6.36,-0.546,-0.005,-0.533,4.957,-0.716,-0.838,-0.044,-0.653
6.07,0.791,0.095,0.306,-0.352,0.275,0.797,5.404,-0.901,3.324,-0.446,-0.41,0.069,0.31,-0.032,-0.179,0.713,-0.217,0.269,-0.564,0.172,8.833,6.994,-0.22,0.638,9.587,0.499,0.65,-0.834,0.156,6.195,-1.135,-1.108,0.163,-0.014,0.687,0.367,7.545,-0.784,1.065,0.229,4.957,-0.16,-0.187,-0.315,-1.137
6.08,-0.082,-0.506,0.05,-0.319,-0.508,0.071,4.381,-0.143,3.572,-0.06,0.251,-0.746,0.445,0.124,0.506,-1.329,0.134,-1.443,0.211,-0.598,8.992,7.593,-0.992,0.197,8.856,0.918,-0.159,-0.062,0.285,6.359,0.453,0.107,0.494,-0.151,0.132,0.183,7.188,0.176,0.187,-0.372,4.953,-0.76,-0.276,0.311,-0.763
6.09,0.004,-0.372,-0.521,0.292,-0.08,0.303,4.872,0.205,4.207,0.133,-0.047,-0.202,0.573,1.05,-0.111,0.853,-0.069,-0.502,0.141,0.15,9.659,NaN,0.505,0.118,10.54,0.916,0.401,-0.265,-1.794,5.574,-0.878,0.429,0.347,NaN,-0.085,0.026,8.398,-0.035,-0.672,0.202,5.232,-0.703,-0.135,-0.017,0.373
6.1,-0.221,0.015,0.587,0.116,-0.87,0.189,5.507,1.046,3.317,-0.003,-0.402,-0.484,-0.616,-1.18,-0.934,-0.271,-0.323,-0.525,-0.89,0.163,9.33,7.532,0.026,0.637,10.007,-0.229,0.938,-0.401,-0.065,6.019,0.248,0.325,0.115,0.167,-0.197,-0.863,8.113,0.187,-0.888,-0.276,5.797,-0.288,0.008,0.325,0.971
6.11,0.789,-0.702,-0.514,-0.225,0.403,-0.279,5.499,0.285,2.71,1.242,-0.591,0.689,-0.093,0.136,-0.232,-1.366,-0.283,-1.487,0.512,0.28,9.778,7.192,1.163,0.33,9.758,0.304,-0.478,-0.008,1.069,7.915,-0.169,0.761,0.802,0.314,1.092,0.37,7.251,NaN,-0.211,0.49,6.592,-0.184,-0.333,0.006,0.177
6.12,0.386,-0.951,-0.105,-0.019,-0.025,0.448,6.178,0.714,3.003,0.612,-0.928,-1.398,0.467,0.14,-0.116,-0.207,0.201,0.177,-0.186,-0.123,10.269,7.807,-0.197,-0.132,11.136,-0.249,-0.295,-0.134,-0.608,6.05,-0.049,-0.411,0.164,NaN,0.535,-0.029,8.051,0.314,-0.439,0.582,5.489,0.388,1.291,NaN,0.212
6.13,0.151,1.085,-0.269,0.225,0.811,-0.291,4.564,0.521,4.196,-0.039,-0.23,0.119,-0.895,0.32,0.037,0.577,-1.407,-0.267,-0.173,-1.057,10.185,7.567,-0.033,-0.504,9.957,-0.596,0.824,0.357,-1.212,6.54,0.364,0.21,0.081,0.024,-0.323,0.868,8.381,-0.648,-0.13,-1.054,5.837,-0.22,-0.95,-0.076,-0.772
6.14,-0.174,-0.502,0.639,0.103,-0.276,0.47,4.595,0.171,4.972,-0.36,0.125,-0.009,-1.144,0.673,0.766,-0.244,0.604,0.23,0.57,0.159,10.375,8.005,0.198,-0.145,11.215,0.238,-0.514,-0.968,-0.128,6.108,0.096,1.024,0.087,-1.115,0.352,0.006,7.428,0.125,1.053,-0.608,5.674,-0.107,0.896,0.146,0.702
6.15,0.116,0.339,-0.838,-0.377,-0.707,0.137,6.388,-0.575,2.804,0.286,0.631,0.132,-1.56,1.079,-0.131,-0.526,-0.876,0.021,0.491,-0.473,10.881,7.001,-0.735,0.114,10.46,0.913,-0.222,0.444,-0.736,6.545,-0.005,-0.372,-0.743,-0.324,-0.911,-0.657,8.082,-0.447,-0.265,0.314,5.715,-0.146,-0.866,-1.226,0.04
6.16,0.039,0.413,-1.246,0.857,0.175,-0.34,6.403,-0.225,3.348,-0.588,-0.778,-0.662,0.187,-0.061,-1.526,-0.126,-0.961,0.315,-0.54,NaN,9.923,8.571,-1.123,-1.111,10.896,-0.873,0.333,0.223,-0.15,7.163,0.867,0.052,0.205,0.627,0.055,0.384,7.594,0.417,0.266,-0.396,6.656,0.484,0.017,-1.098,0.424
6.17,-1.168,0.686,-0.47,-0.418,-0.387,0.49,6.108,-0.964,4.307,-0.017,0.082,0.162,1.061,0.007,-0.674,0.862,-0.04,-0.239,NaN,-0.669,10.142,8.499,-0.745,-0.887,9.629,1.333,0.496,1.031,-0.195,6.848,-0.408,-0.328,0.526,0.641,0.536,-0.866,6.811,-0.133,0.361,0.114,6.202,0.124,-0.408,-0.458,0.427
6.18,0.694,0.582,0.49,-0.317,-0.008,-0.122,6.109,-1.105,4.793,0.213,0.055,0.056,-0.147,0.564,0.612,-0.112,-0.483,-0.138,0.201,-0.688,11.859,8.86,-0.083,-1.339,11.395,0.516,-0.114,0.136,0.143,8.006,-1.141,-1.437,-0.009,-0.118,0.059,0.389,7.654,-0.446,-0.955,0.286,6.386,-0.115,-1.169,-0.105,-0.134
6.19,-0.357,0.85,0.641,-1.23,-1.231,-0.616,6.492,-0.004,4.479,0.277,-0.293,-0.21,0.069,0.476,0.351,-0.368,0.494,-1.293,-0.042,-0.229,10.23,8.59,0.543,0.923,10.556,0.781,-0.159,-1.126,-0.781,7.755,0.099,-0.355,0.713,0.064,0.192,-0.314,8.31,-0.442,-0.492,0.416,6.971,0.198,-0.81,-0.284,0.642
6.2,0.551,-0.385,0.401,-0.412,-0.08,-1.275,6.764,-0.091,4.822,0.721,0.074,-0.26,-0.375,0.297,-0.019,0.096,-0.363,0.589,NaN,-0.272,10.429,NaN,0.662,-0.801,11.583,0.047,-0.439,0.441,-0.086,7.637,0.61,-0.734,0.854,-0.315,0.302,-0.645,8.78,-0.21,0.617,0.295,6.128,-0.305,0.399,0.088,-0.472
6.21,0.77,-0.415,0.987,0.106,-0.471,-0.589,6.34,1.603,4.686,-0.351,-0.555,-1.232,-1.197,-0.241,-0.542,-0.406,-0.222,-0.271,-0.576,0.547,11.668,7.707,0.441,NaN,11.274,0.074,-0.226,-0.985,0.758,7.93,-0.669,-1.16,-0.914,-0.002,-0.962,-0.885,8.241,-0.862,0.121,-0.556,5.876,-0.696,0.481,-1.181,-1.158
6.22,0.223,-0.366,-0.89,0.78,NaN,-0.999,6.77,0.208,3.911,0.191,0.128,-0.469,0.868,0.447,-1.033,0.581,-0.258,0.206,0.457,-1.451,10.875,8.621,-0.706,0.41,12.19,-0.303,-0.211,-0.47,0.673,7.867,-0.413,-0.856,0.109,0.053,-0.018,0.277,7.757,-0.304,0.065,0.486,6.249,1.198,0.484,0.111,-0.685
6.23,-0.471,-0.202,-1.011,-0.106,0.083,-0.873,6.512,-0.247,6.079,-0.462,-0.429,-0.559,0.223,0.768,0.142,-1.024,-0.006,0.294,0.58,-0.176,11.642,7.668,0.293,-1.199,10.845,0.644,0.297,-0.602,0.203,NaN,-0.141,-0.968,0.673,-0.341,-0.735,0.095,8.203,0.35,-0.117,-0.944,6.717,0.747,0.006,-0.25,0.407
6.24,0.23,-1.102,-0.473,0.638,0.632,-0.854,7.971,0.411,5.511,0.166,0.815,-0.224,0.878,0.236,-0.577,-0.02,0.043,0.837,-0.732,0.118,10.83,8.337,-0.541,-1.189,10.885,0.133,0.018,-0.666,-0.899,8.301,0.555,-0.12,1.173,-0.147,-0.042,0.59,8.55,-0.022,-0.872,0.231,6.957,0.226,-0.885,-0.755,0.347
6.25,-0.039,0.439,-0.178,0.283,0.8,NaN,7.155,0.82,5.235,-0.123,-1.331,0.119,0.937,0.1,-0.597,0.008,0.023,0.364,0.467,-0.786,11.922,9.017,0.966,-0.139,11.776,-0.697,-0.037,-0.332,0.695,7.311,-0.659,-0.136,1.203,-0.508,0.977,-0.457,8.524,-0.033,-0.249,0.092,5.208,-0,NaN,-1.042,0.543
6.26,0.359,0.313,0.152,-0.273,0.517,-0.04,7.693,-0.163,5.107,-0.587,1.284,0.688,-1.028,-0.017,-0.683,0.925,-0.022,-0.459,-0.995,-0.271,12.057,8.411,-1.952,-0.24,11.585,0.551,-0.305,-0.279,0.231,9.826,-0.412,-0.768,0.732,-0.733,-0.117,0.509,9.194,0.135,0.258,1.097,6.248,0.446,0.734,-0.419,-0.999
6.27,0.734,0.398,-1.189,0.734,0.497,0.868,7.886,-0.205,5.321,-1.11,0.7,0.816,-0.89,0.731,-0.493,NaN,-1.115,0.206,1.693,0.261,11.335,8.616,-0.013,-0.009,11.272,-0.159,0.053,-1.022,-0.358,NaN,0.338,-0.335,-0.518,-0.12,0.017,-0.076,9.701,0.231,0.539,-0.211,7.029,0.467,-1.382,0.219,-0.407
6.28,1.13,-0.129,0.47,-0.253,-0.937,-0.939,6.832,0.841,5.422,0.373,0.474,-0.5,-0.372,0.081,-0.243,0.204,-0.059,-0.432,0.909,-0.528,11.707,9.215,-0.631,0.141,11.301,-0.064,0.465,0.627,-0.686,7.38,0.506,0.101,0.133,-0.796,0.089,-0.269,9.313,-0.094,-0.879,0.264,7.832,0.278,0.622,0.342,-0.689
6.29,0.378,-0.589,-0.075,-0.316,0.375,0.373,7.317,NaN,5.061,-0.608,0.256,-0.838,-1.548,0.179,-0.441,0.526,-0.08,0.629,-0.076,-0.008,11.932,8.848,0.29,-0.608,11.281,-1.141,0.469,-0.762,-1.012,8.409,1.155,0.705,0.773,-0.506,0.25,0.794,8.858,-1.271,0.815,1.047,7.379,0.73,0.102,-0.827,0.318
6.3,0.452,0.28,-1.208,-0.097,0.413,0.637,7.652,0.311,5.766,1.29,-0.316,-0.837,0.581,0.492,-0.15,-0.631,0.105,-1.3,-1.817,-0.318,11.331,9.345,-0.392,-1.096,12.053,-1.328,-0.138,-1.488,0.208,8.173,0.052,0.151,0.616,-0.322,0.166,0.055,8.878,-0.428,1.276,0.812,7.124,-0.179,0.288,0.028,0.472
6.31,0.481,0.652,-0.338,-1.065,0.252,0.008,8.235,-0.517,6.23,0.675,-0.682,-0.669,-0.491,0.009,-0.066,-0.343,0.044,-0.509,0.183,0.008,12.229,8.844,-0.343,-0.022,11.306,-0.112,0.583,-0.667,0.646,8.298,0.857,-0.356,0.307,0.267,-0.924,0.394,8.484,-0.688,0.712,0.205,5.278,-1.273,0.431,-0.053,-0.537
6.32,1.755,-0.534,-1.014,0.566,-1.163,-0.341,7.074,0.323,5.749,0.018,0.57,-0.009,-0.223,-0.392,-0.682,0.438,-0.013,0.449,-0.701,-0.187,11.023,8.136,0.274,-0.421,12.754,-0.733,-0.71,0.284,0.473,8.189,-0.341,0.437,1.063,-0.065,NaN,-0.477,7.813,-0.879,-0.034,1.431,7.301,-0.395,0.267,-0.091,-0.334
6.33,0.239,0.665,0.554,0.237,1.04,0.72,8.254,0.372,5.732,-0.387,-1.471,0.806,-0.305,0.043,-0.329,0.844,0.335,-0.023,-0.747,0.706,10.787,8.949,0.747,0.303,12.321,0.783,-0.044,-0.469,0.746,8.475,1.121,0.424,0.258,0.451,0.319,0.371,9.266,-1.723,-0.075,0.861,5.987,-0.067,-1.073,-0.259,-0.005
6.34,1.656,0.495,0.319,-0.003,-1.083,-0.665,7.796,-0.563,5.4,0.317,-1.072,-1.065,0.702,-0.282,-0.942,0.007,0.034,0.25,0.28,0.054,11.741,8.635,-1.026,0.464,11.565,-0.489,-0.324,0.117,-0.16,8.893,-0.9,-0.524,0.427,-0.559,-0.058,-0.316,9.475,-0.117,0.749,1.746,7.24,-0.391,0.169,-0.579,0.539
6.35,2.293,-0.477,-0.111,-0.696,0.158,-0.179,8.196,0.1,6.526,-0.278,0.409,-0.265,-0.831,-0.146,0.076,0.654,1.063,-0.22,0.003,NaN,12.085,8.885,0.29,-0.239,12.856,-0.309,0.247,-0.356,-0.746,8.868,-0.748,0.564,1.32,-0.545,0.321,-1.279,9.306,-0.514,-0.309,0.758,7.459,-1.375,0.607,-0.336,0.467
6.36,1.347,0.03,0.481,0.385,0.665,-0.506,9.307,-0.209,6.294,NaN,1.107,0.75,-0.569,-0.034,-0.38,NaN,1.046,-0.492,0.754,1.324,11.108,8.793,0.093,-0.372,11.534,0.231,0.583,0.321,0.245,9.397,0.299,0.016,1.323,0.773,-0.92,0.073,9.599,0.086,-0.012,1.921,7.414,0.233,0.128,0.258,-1.135
6.37,0.847,-0.739,-0.23,-0.372,0.502,NaN,9.132,0.121,6.605,-1.128,-1.058,-0.149,0.551,-0.074,-0.119,-0.351,NaN,-1.403,-0.226,0.282,11.927,10.143,0.269,-0.702,11.458,-1.122,0.19,-1.101,0.281,9.361,-1.115,NaN,0.022,NaN,0.439,0.291,9.685,-0.588,0.203,0.747,6.795,0.051,0.656,-0.053,-0.421
6.38,1.408,0.005,0.003,-0.335,-0.264,0.123,8.689,-0.916,5.765,-0.044,-0.168,-0.499,0.661,0.373,0.918,0.46,0.403,0.375,-0.279,-0.393,11.147,9.847,-0.484,-0.01,12.797,0.416,-0.269,0.86,0.739,8.156,-0.243,-0.635,1.008,-1.139,0.48,-1.186,8.288,0.787,0.493,2.484,8.022,0.082,-0.075,0.207,0.578
6.39,1.561,0.182,0.534,0.504,-0.326,0.479,8.614,0.753,5.37,-0.819,-0.433,-0.331,-0.161,-1.153,-1.089,-0.523,0.208,-1.06,NaN,-0.217,12.677,10.299,0.304,0.322,13.333,-0.024,0.387,-0.011,-0.773,9.671,-0.486,0.23,1.419,-0.177,-0.182,0.419,8.785,0.292,-0.607,2.882,7.528,-0.066,-0.01,-0.454,-0.133
6.4,0.988,0.022,0.357,0.73,-0.232,0.778,8.589,-1.944,7.414,0.537,1.008,-0.046,-0.105,0.274,0.639,-0.381,0.07,0.253,0.071,0.255,12.344,9.013,-0.177,-0.257,11.787,-0.885,-0.584,0.417,0.671,9.635,-0.586,-0.346,0.816,-1.226,0.005,NaN,9.641,-0.234,-0.716,2.217,7.411,-0.504,0.174,0.284,0.627
6.41,1.741,-0.518,0.082,-1.515,0.443,-0.27,9.143,0.085,6.621,-0.182,-0.028,0.288,0.086,-0.019,-0.246,0.423,0.802,-0.629,-0.845,0.201,12.826,9.813,-0.14,0.301,13.034,-0.725,-0.306,-1.117,0.499,9.787,0.043,-0.072,1.785,-1.429,-0.236,-0.809,9.482,-0.196,-0.819,3.004,NaN,0.669,-0.449,0.758,0.776
6.42,1.482,-0.836,0.325,0.185,-1.152,-0.704,10.138,0.7,7.057,0.408,0.258,-1.298,-1.157,0.225,-0.255,-0.522,-0.485,0.636,0.583,-0.266,11.548,9.019,0.165,0.451,12.43,0.699,-0.09,0.087,0.446,9.067,-0.471,0.037,1.6,-0.757,0.861,-0.023,9.668,0.46,-1.191,1.995,NaN,0.222,-0.017,-0.061,0.178
6.43,1.847,0.22,-0.247,0.059,NaN,-1.155,10.033,-1.452,6.872,-0.025,-0.714,0.535,-0.89,0.096,-0.112,-1.085,0.379,-0.196,-0.597,-0.084,12.824,11.257,-1.317,0.452,12.91,0.724,0.138,-0.69,-0.833,9.366,-0.886,0.04,1.906,-0.528,-0.826,-0.548,9.769,0.027,-1.576,2.962,7.722,0.136,0.309,-0.345,-0.23
6.44,2.345,-0.213,0.266,-0.412,0.742,-0.569,8.659,0.593,6.702,0.364,0.029,-0.574,-0.264,-0.622,-0.087,0.511,-0.832,0.027,-0.121,-0.427,13.343,11.43,-0.14,-0.629,13.433,0.854,0.278,-0.033,0.533,NaN,-0.51,-0.17,1.321,-0.158,-0.278,-0.116,10.552,-1.404,0.307,2.465,6.843,0.988,-0.072,-0.955,-0.424
6.45,2.307,-0.13,0.094,-0.459,0.009,0.64,11.049,-0.709,6.216,0.119,-0.478,-0.364,0.915,-0.358,-0.322,-0.852,0.964,-0.488,0.23,0.157,13.018,10.677,-1.455,0.587,12.319,-1.012,-0.207,-1.13,0.363,NaN,0.562,0.301,1.781,-0.43,0.222,0.434,10.445,0.384,-0.282,2.306,7.899,0.244,-0.727,-0.492,-0.216
6.46,2.244,-0.697,0.047,0.137,-0.996,0.25,9.577,-0.191,6.634,-0.763,0.074,-0.098,0.593,0.712,0.304,-1.263,-0.862,-0.019,0.07,-0.983,12.864,10.286,1.273,-0.251,12.017,-0.221,-0.118,-0.199,0.213,NaN,-1.128,-1.06,1.462,-0.241,0.11,0.317,10.68,-0.604,0.498,2.246,7.805,-0.647,-0.137,0.473,-0.462
